image_path,query
gradio/grounding_examples/sample_1763722069_1da03c27.png,"Click on ""EDIT"""
gradio/grounding_examples/sample_1763722140_91a2dd51.png,"Click on ""EDIT"""
gradio/grounding_examples/sample_1763722197_ce881f42.png,"Click on ""EDIT"""
gradio/grounding_examples/sample_1763722298_c4ab79a0.png,"Click on ""EDIT"""
gradio/grounding_examples/sample_1763722370_58967004.png,"Click on ""EDIT"""
gradio/grounding_examples/sample_1763722458_58af4c52.png,"Click on ""EDIT"""
gradio/grounding_examples/sample_1763722549_2442c64a.png,"Click on ""EDIT"""
gradio/grounding_examples/sample_1763722611_a6311798.png,"Click on ""EDIT"""
gradio/grounding_examples/sample_1763722682_91baf11b.png,"Click on ""EDIT"""
gradio/grounding_examples/sample_1763722705_5022538f.png,"Click on ""EDIT"" button"
gradio/grounding_examples/sample_1763722798_ab931867.png,Click on 微信 button
gradio/grounding_examples/sample_1763722827_1981430d.png,Click on 微信 button
gradio/grounding_examples/sample_1763722876_1612f867.png,Click on Chrome button
gradio/grounding_examples/sample_1763722899_d135de41.png,Click on Chrome button
gradio/grounding_examples/sample_1763722906_b3fbd27d.png,Click on Chrome button
gradio/grounding_examples/sample_1763723057_b902255b.png,Click on Chrome button
gradio/grounding_examples/sample_1763723410_1accad66.png,Click on Chrome button
gradio/grounding_examples/sample_1763723463_9c5195b5.png,Click on Docker Desktop
gradio/grounding_examples/sample_1763723487_dddb7dff.png,Click on Docker Desktop
gradio/grounding_examples/sample_1763728988_8b1e0124.png,Click cell D4 in the table
